date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:05:40	13931/13931	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/bitset/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/bitset/index.html	(from http://www.cplusplus.com/reference/)
11:05:40	2572/2572	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Dec%202017%2005:40:09%20GMT	http://www.cplusplus.com/reference/edit.cgi?a=cassert	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/editd9ab.html	(from http://www.cplusplus.com/reference/cassert/)
11:05:41	14307/14307	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/deque/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/deque/index.html	(from http://www.cplusplus.com/reference/)
11:05:41	14732/14732	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/forward_list/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/forward_list/index.html	(from http://www.cplusplus.com/reference/)
11:05:41	1460/1460	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2005%20Dec%202017%2005:40:09%20GMT	http://www.cplusplus.com/reference/delete.cgi?a=cassert	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/deleted9ab.cgi	(from http://www.cplusplus.com/reference/cassert/)
11:05:41	14273/14273	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/list/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/list/index.html	(from http://www.cplusplus.com/reference/)
11:05:42	14543/14543	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/map/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/map/index.html	(from http://www.cplusplus.com/reference/)
11:05:42	14262/14262	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/queue/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/queue/index.html	(from http://www.cplusplus.com/reference/)
11:05:42	47610/47610	---MC-	200	added ('OK')	text/javascript	date:Tue,%2005%20Dec%202017%2005:35:35%20GMT	http://pagead2.googlesyndication.com/pagead/show_ads.js	D:/MyWebsites/C++Reference/pagead2.googlesyndication.com/pagead/f.txt	(from http://www.cplusplus.com/reference/)
11:05:42	14543/14543	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/set/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/set/index.html	(from http://www.cplusplus.com/reference/)
